CPSF160,AT5G51660
CPSF100,AT5G23880
CPSF73(I),AT1G61010
CPSF73(II),AT2G01730
CPSF30,AT1G30460
FY,AT5G13480
CstF77,AT1G17760
CstF64,AT1G71800
ESP1,AT1G73840
CstF50,AT5G60940
CFIm25_1,AT4G25550
CFIm25_2,AT4G29820
CFIm68_1,AT1G13190
CFIm68_2,AT5G55670
Fip(V ),AT5G58040
Fip(III),AT3G66652
PCFS_1,AT1G66500
PCFS_2,AT2G36480
PCFS_3,AT4G04885
PCFS_4,AT5G43620
CLPS_1,AT3G04680
CLPS_2,AT5G39930
PABN_1,AT5G65260
PABN_2,AT5G10350
PABN_3,AT5G51120
PAP_1,AT1G17980
PAP_2,AT2G25850
PAP_3,AT3G06560
PAP_4,AT4G32850
Symplekin_1,AT5G01400
Symplekin_2,AT1G27595
Symplekin_3,AT5G27590
